Taxon,Level,CRS_11,CRS_17,CRS_21,CRS_26,CRS_27,CRS_31,CRS_33,CRS_39,CRS_42,CRS_45,CRS_47,CRS_48,CRS_49,CRS_53,CRS_57,CRS_58,CRS_66,CRS_74,CRS_7,CRS_9
Cardiobacterium,genus,0,0,0,0,0.010275359,0.015675615,0,0.027882202,0,0,0,0.014292456,0,0.00236465,0,0.003595984,0,0,9.55E-05,0
Chitinophagaceae,family,0.008581719,0,0,0.001211838,0,0,0,0,0,0,0,0,0,0.002694091,0.019089716,0,0.001325359,0,0,0
Chloroplast,family,0,0,0,0,0,0,0,0,0,0,0.020165138,0,0,0.00146967,0,0,0,0,0,0
Clostridia,class,0,0,0.011791746,0,0,0,0,0.009843738,0,0.000801122,0.000531067,0,0,0,0,0,0,0,0,0.000690754
Clostridiales,order,0.004346076,0,0.004824046,0,0,0.004824161,0,0.001843575,0.008795965,0.011111075,0.006480786,0.013977864,0.001687759,0.003087589,0,0.002386085,0.000514295,0.000230747,0,0.011905342
Clostridium sensu stricto,genus,0.010448394,0.002663422,0,0,0,0.005243047,0.00748974,0,0,0,0.020323797,0,0.006783068,0.017324907,0.003911033,0.002663275,0.002026106,0.009464081,0,0
Comamonadaceae,family,0.037329942,0.012254482,0.024330972,0.032923664,0.023945797,0.039284451,0.016819014,0.032399301,0.028960883,0.034539813,0.023873795,0.025577227,0.006969262,0.028560656,0.022157316,0.004208425,0.010408655,0.037787444,0.000102122,0.02200389
Corynebacterium,genus,0.00729927,0.230487094,0.012065054,0.009903725,0.018474962,0.02223815,0.17794415,0.005997401,0.00937945,0.026597258,8.37E-05,0.042574692,0.117930884,0.007712567,0.00531988,0.010520125,0.004881922,0.003922703,0.005110506,0.018482401
Cupriavidus,genus,0,0,0,0,0,0,0,0,0,0,0.011452106,0,0,0,0,0,0,0,0,0
Delftia,genus,0.054596688,0.023415487,0.034051507,0.058688279,0.030849715,0.05876494,0.032959046,0.041422614,0.066699739,0.047452595,0.046974128,0.041711949,0.008918293,0.052565884,0.040578533,0.006843607,0.01534962,0.055517098,0.000523788,0.038985594
Dialister,genus,0,0,0.00388558,0,0,0.01268524,0,0.000151023,0,0,0.008887116,0.000159679,0,0.000750392,0,0,0.026079904,0,8.57E-05,0
Dolosigranulum,genus,0.000295676,0.351732767,0,0,0,0,0,0.003601434,0,0,0,0,0,0,0,0,0,0,0,0
Dorea,genus,0,0,0,0.011590842,0,0,0,0,0,0.007949094,0,0,0.000917957,0,0,0,0,0,0,0
Enterobacteriaceae,family,0.022417914,0.002286361,0.011301109,0.003277187,0.008385757,0.015296291,0.005686101,0.001821806,0.032631438,0.007605756,0.003371507,0.011089344,0.064773494,0.009896025,0,0.002438526,0.001505596,0.008541092,0.459023162,0.011461093
Escherichia/Shigella,genus,0.003729788,0.002814246,0.017452179,0,0.004418921,0.007449175,0,0.004113009,0,0.00604602,0.006132617,0,0.000635662,0.004833623,0,0.00315585,0.001272531,0.00541395,0,0.002251044
Faecalibacterium,genus,0.01118224,0,0.0172118,0,0,0.007016327,0,0,0.009019592,0.00575827,0,0.010062156,0,0.005598657,0.013788579,0,0.000792419,0.008792503,0.000108711,0
Firmicutes,phylum,0.002661081,0,0,0,0,0.010444204,0,0.000534705,0,0.001602244,0.007798538,0,0.000626653,0.000882168,0,0.001000133,0,4.82E-05,0.000758779,0.002348562
Fusobacterium,genus,0.009849918,0.001090049,0,0.022925381,0,0,0,0.001126554,0.00648002,0.013066467,0,0.007288032,0.000233243,0.007699755,0.017496564,0.007596516,0.275001981,0,0.000782937,0.008164437
Gammaproteobacteria,class,0.003790348,0,0,0,0,0.003625684,0.000960146,6.94E-05,0,0,0,0,1.50E-05,0.005463221,0,0.002901135,0,0,0.000116397,0.02044089
Gp6,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002337197,0,0,0,0.014850479,0,0
Haemophilus,genus,0.017124251,0.002234943,0.00090883,0.01044619,0.004746906,0.010425587,0.005551501,0.007355252,0.011235291,0,0,0.003479571,0.0041263,0,0.001711858,0.003521067,0.005989754,0.011413379,8.46E-05,0.000276301
Hydrogenophaga,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013665747,0,0
Kingella,genus,0,0.005361122,0,0.007599491,0,0,0,0,0.019720236,0,0,0,0,0.003290744,0,0,0,0,0,0
Klebsiella,genus,0,0,0,0.004441746,0,0.000949473,0.002835573,0,0,0,0,0.021582871,0,0,0,0,0,0.006543579,0,0.002792812
Lachnospiraceae,family,0.004634627,0.002553731,0,0.025617801,0,0.012194214,0,0.00528038,0.010227687,0.036593301,0.008917967,0.007226067,0.000985026,0.015578873,0.011864301,0,0.003009638,0,0,0.017997519
Lactobacillus,genus,0.040372195,0.011651184,0.106069736,0,0.029543688,0.020532357,0.022011582,0.012696858,0.020565903,0.009760612,0.021958868,0.025055292,0.001456518,0.047249081,0.070642259,0.009413237,0.003349912,0.065618317,0.000384331,0.018135669
Lautropia,genus,0.007106903,0.015973674,0.035355481,0.035230386,0.017907638,0,0,0.01415267,0.057176346,0.037315946,0.042399455,0.024261664,0.010042464,0.002177967,0.025718481,0.011233703,0.007316668,0.038238606,7.69E-05,0.016261154
Leptotrichia,genus,0.011509976,0,0,0.014074238,0.009539611,0.013967495,0.008288367,0,0.020964317,0,0.010802044,0,0,0,0,0.004659796,0.001381295,0,0,0
Mesoplasma,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011895539,0,0,0,0,0
Methylobacterium,genus,0.000146057,0.00567991,0.005838248,0.03649448,0.014283561,0.013118088,0.01002022,0.010777091,0.029541798,0.013599459,0.006593169,0.028994833,0.005785028,0.05815722,0.016562539,0.004916384,0.003772535,0.015249982,3.07E-05,0.019731175
Micrococcus,genus,0,0.010382888,0,0.006101491,0.003130623,0,0,0.002198684,0.000364999,0,0,0,0,0,0,0,0.000233064,0,0,0.000425288
Mycoplasma,genus,0,0,0,0,5.91E-05,0,0.004773812,0.001050362,0,0,0,0,0,0.002463482,0.062370361,0,0,0.002693199,0,0
Myxococcales,order,0,0,0,0,0,0,0,0,0,0.018396382,0,0,0,0,0,0,0,0,0,0
Neisseria,genus,0.002978131,0,0.021298245,0,0.005237404,0.007837808,0.016795085,0.002488486,0.002058904,0,0.014475444,0.001763618,0.002896018,0.001579484,0.005388604,7.87E-05,0.00247359,0,4.83E-05,0
Neisseriaceae,family,0.000388297,0.001158606,0.014804717,0,0.00015956,4.19E-05,0.001387875,0.003847698,0.045982182,0.011781402,9.48E-05,0.000150146,0.001363421,0,0,0.002608961,9.17E-05,0,0,0.006693538
Nitrosopumilus,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012723354,0,0,0,0,0
Parabacteroides,genus,0,0.004562438,0.002927356,0.008241492,0,0.015908329,0,0,0.007510757,0,0,0,0.001672743,0,0,0.002573376,0.00180858,0,0,0
Paraprevotella,genus,0,0,0,0,0,0,0,0.000940155,0,0,0,0,0,0.000715618,0,0,0,0.011213627,0,0
Parvimonas,genus,0,0,0,0.014198657,0,0,0,0,0,0,0,0,0,0,0,0,0.037318268,0,0,0
Pasteurellaceae,family,0.032933993,0.004737257,0.017149236,0.034115595,0.012550564,0.011761366,0.00611383,5.03E-05,0.019062209,0.013625618,0,0.025453297,0.004049219,0.016413455,0.015637886,0.00665257,0.00230423,0.018501107,8.57E-05,0.006753133
Peptoniphilus,genus,0,0,0,0,0,0,0,0.0043756,0,0,0,0.046073328,0,0,0,0.002547155,0,0,0,0
Planctomycetaceae,family,0,0,0,0,0,0.013639368,0,0.014351313,0,0,0,0,0.000847883,0.007752832,0,0,0,0,0,0.012923865
Porphyromonadaceae,family,0.003786786,0.001237446,0,0.007368073,0.004037751,0.010891015,6.58E-05,0.006918509,0,0.004149486,0.004757571,0,7.01E-05,0.004837284,0.008643634,0.000140468,0,0,0,0.008440739
Prevotella,genus,0.074738256,0.003513523,0.051309407,0.03967462,0.060860264,0.008468463,0.05667556,0.028569291,0.06966857,0.095725931,0.059466332,0.031687925,0.007532849,0.019528498,0.049915657,0.007808154,0.178040985,0.030069465,0.001277078,0.043539151
Prevotellaceae,family,5.70E-05,0.002440613,0,0.000530023,0.001409445,0,0.005698065,0.004054505,0.002022918,0.015747774,0.000852793,0,0,0.00781872,0,0.000764147,0.002377257,0,0,0.011274183
Propionibacterium,genus,0.004527756,0.001686491,0.001959254,0.000562372,0.01316812,0.00560608,0.019995573,0.01672279,0.012936907,0.002651878,0.00033054,0.032159812,0.032163514,0.022343383,0.014375859,0.003354379,0.000217527,0.000489046,0.00039092,0.01195681
Proteobacteria,phylum,0.00173843,0,0,0.005959654,0.000146263,0.004081804,0,0.000439465,0,0,0,0,0,5.12E-05,0.012311008,0.005401467,0,0,0,0.005675015
Pseudomonas,genus,0.009532868,0.000356494,0.018578339,0.001552745,0.004816344,0.002366701,0.011461935,0,0.000822533,0,0.000769056,0.001279815,0,0.019244813,0,0,0.000327844,0.000368507,0,0.000203163
Pyramidobacter,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000995642,0,0,0.084408149,0,0,0
Rhizobiaceae,family,0.001168453,0,0.000125129,0.000340907,0,0.006653293,0,0,0,0.003891165,0.002944009,0,0.000612638,0.005289349,0.010342996,0,0.002889998,0.005668805,0,0
Rhizobiales,order,0,0,0,0,0,0.003090442,0,0.006117132,0,0,0,0,0,0.001231741,0.010664751,0,0,0,0,0.005526029
Rhodobacteraceae,family,0,0,0,0,1.92E-05,0,0,0,0.000100246,0,0,0,0,0.010315146,0,0,0,0.008575532,0,0
Rhodococcus,genus,0,0,0,0,0,0,0,0,0,0.012674081,0,0,0,0,0,0,0,0,0,0
Romboutsia,genus,0,0.001611079,0.009598699,0.009990818,0.016666617,0,0,0.007454574,0.005145974,0.028183153,0.005616975,0.011315754,0.000897936,0.007459996,0,0,0.00196551,0.011802549,0,0
Rothia,genus,0.018221458,0,0,0.021676218,0.027176884,0,0.013196779,0.031610169,0.001452285,0.001903074,0,0.002519114,0.000350365,0,0.001255779,0,0,0.026811452,0,0
Ruminococcaceae,family,0.013230595,0.00225551,0,0,0.011064294,0.012243084,0,0.004078995,0.008430966,0.018945723,0.031482824,0.01135627,0.001207258,0.022599615,0,0.00240856,0.002649165,0.007897066,5.05E-05,0.015781689
Saccharibacteria_genera_incertae_sedis,genus,0.040087207,0.016984883,0.049774933,0.076773775,0.026278621,0.031821313,0.038752827,0.016540474,0.006372063,0.040752597,0.050495479,0,0.010521964,0.008927836,0.047838311,0.016760655,0.010212881,0.040663174,0.000165811,0.03838965
Scardovia,genus,0.004616815,0,0.004395973,0.003299583,0.016362272,0.003209126,0.003338079,0.016641156,0.007495335,0.007985063,0.01902147,0,0.00147754,0,0.017818318,0.002575249,0.002911751,0.003230461,0.000108711,0.002158944
Schwartzia,genus,0,0,0,0,0,0,0.015018365,0,0,0,0.001756269,0.008024462,0,0.002016908,0,0.000966421,0,0,9.11E-05,0
Selenomonas,genus,0.022877458,0,0,0,0.003501452,0.016287653,0.011698233,0,0,0,0,0,0,0.002512899,0.008943521,0,0.001679617,0.009646612,0,0
Serratia,genus,0,0,0,0,0,0.01022778,0,0,0,0,0,0,0,0.000397159,0,0,0,0,0,0
Slackia,genus,0,0,0,0,0,0,0,0.000933352,0.012816097,0,0,0,0,0,0,0,6.68E-05,0,0,0
Spartobacteria_genera_incertae_sedis,genus,0,0,0.011890532,0,0,0,0,0,0,0,0,0,0,0.009035819,0,0,0.000537602,0,0,0.013820491
Sphingomonadaceae,family,0.008325229,0,0,0,0,0.003099751,0,0,0.011425502,0,0.007617843,0,0.002809928,0.003398727,0,1.50E-05,0,0.001201952,0,0.007075484
Sphingomonas,genus,0.010904376,0.000887807,0.004129251,0,0.001852667,0.004893975,0.002129671,0.009802921,0,0.000199463,0.002703816,0.012645618,0.001250303,0.010745249,0.008765463,0.0017905,0.000295215,0.010855452,7.91E-05,0.013102649
Staphylococcus,genus,0.007438202,0.105011483,0.018729811,0.032351338,0.013549291,0.005468779,0.134318805,0.006625986,0.00104873,0.012530206,0.059724153,0.058132662,0.523864867,0.009590377,0.027330376,0.580751373,0.001075204,0,0.504028339,0.146599596
Stenotrophomonas,genus,0.000762344,0,0.00194279,0.017784402,0,0,0,0,0,0.030017559,0.0002446,0,0,0.012128899,0,0,0.000160038,0.016048987,0,0
Streptococcus,genus,0.109221874,0.006684263,0.098736528,0.032699711,0.032569416,0.013527665,0.067168376,0.063017613,0.067910406,0.039689884,0.035737974,0.051521478,0.007834163,0.012516907,0.095245533,0.009619256,0.034826033,0.032635237,0.000501827,0.035721445
Streptophyta,genus,0,0,0.006727321,0,0,0.219391127,0,0.024212739,0,0,0.010277587,0,0,0.018598743,0.00046545,0.037038632,0.001166876,0.090714662,0.002500349,0.015695007
Subdivision3_genera_incertae_sedis,genus,0,0,0,0,0,0,0.006577452,0,0,0,0.01173637,0,0,0.001390971,0,0,0,0,0,0.003036607
Treponema,genus,0,0,0,0,0.006611392,0,0.003816657,0,0.016689715,0,0.024369605,0,0,0.000794318,0,0,0.004207589,0.027820541,0,0
Turicibacter,genus,0.008845333,0.007102458,0.002374155,0,0.010888482,0,0.011686268,0.01786431,0,0.005222009,0.034693468,0,0.000458478,0.011856196,0.011280145,0,0,0.012153836,6.15E-05,0
Unassigned,-,0.022799087,0.008610702,0.033458791,0.057546116,0.121503349,0.036086961,0.031433579,0.147681925,0.033145522,0.025707849,0.040127544,0.07148611,0.024196212,0.033866478,0.053695489,0.06224985,0.067621298,0.029267016,0.003250343,0.031595885
Veillonella,genus,0.01722756,0.005642203,0.040281606,0.004635839,0.008127211,0.010469803,0.017776169,0,0.009451422,0.021316391,0.017027212,0.000305058,0.002526633,0.008149991,0.019836311,5.24E-05,0.002385025,0.056440087,6.37E-05,0.024276605
Veillonellaceae,family,0,0,0.017208507,0.016129634,0.002077233,0,0.013878752,0,0.002763198,0,0.0011635,0.004127819,0.000661689,0.000863866,0,0,2.18E-05,8.61E-05,0,0
Verrucomicrobia,phylum,0,0,0,0,0,0.006590461,0,0,0.01289578,0,0.010978332,0.007829034,0.001831909,0,0,0,0,0,0,0.001476317
